Cluster,Time,Route,Count,Ref_Stop_Count,Outlier_Count,Avg_Delay_Sec
"07:00 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:00,"Ebikon, Fildern » Obernau, Dorf",20,39,0,135.2
"07:00 Uhr -> Luzern Weinbergli » Luzern, Bahnhof",07:00,"Luzern Weinbergli » Luzern, Bahnhof",20,5,0,111.1
"07:03 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:03,"Ebikon, Fildern » Obernau, Dorf",4,39,0,79.0
"07:04 Uhr -> Obernau, Dorf » Ebikon, Fildern",07:04,"Obernau, Dorf » Ebikon, Fildern",20,39,0,177.2
"07:06 Uhr -> Kriens, Busschleife » Luzern, Maihof",07:06,"Kriens, Busschleife » Luzern, Maihof",20,21,0,69.9
"07:06 Uhr -> Obernau, Dorf » Ebikon, Fildern",07:06,"Obernau, Dorf » Ebikon, Fildern",4,39,0,13.0
"07:07 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:07,"Ebikon, Fildern » Obernau, Dorf",21,39,1,185.9
"07:07 Uhr -> Luzern, Bahnhof » Luzern, Maihof",07:07,"Luzern, Bahnhof » Luzern, Maihof",20,9,0,68.0
"07:09 Uhr -> Luzern, Maihof » Kriens, Busschleife",07:09,"Luzern, Maihof » Kriens, Busschleife",20,21,0,68.1
"07:10 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:10,"Ebikon, Fildern » Obernau, Dorf",4,39,0,169.3
"07:11 Uhr -> Luzern Weinbergli » Luzern, Bahnhof",07:11,"Luzern Weinbergli » Luzern, Bahnhof",4,5,0,107.7
"07:11 Uhr -> Obernau, Dorf » Ebikon, Fildern",07:11,"Obernau, Dorf » Ebikon, Fildern",20,39,0,191.0
"07:12 Uhr -> Obernau, Dorf » Ebikon, Fildern",07:12,"Obernau, Dorf » Ebikon, Fildern",6,39,0,59.0
"07:13 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:13,"Ebikon, Fildern » Obernau, Dorf",6,39,0,40.8
"07:13 Uhr -> Obernau, Dorf » Ebikon, Fildern",07:13,"Obernau, Dorf » Ebikon, Fildern",4,39,0,49.5
"07:15 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:15,"Ebikon, Fildern » Obernau, Dorf",20,39,1,176.6
"07:18 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:18,"Ebikon, Fildern » Obernau, Dorf",4,39,0,68.6
"07:19 Uhr -> Obernau, Dorf » Ebikon, Fildern",07:19,"Obernau, Dorf » Ebikon, Fildern",20,39,1,313.3
"07:20 Uhr -> Luzern, Bahnhof » Obernau, Dorf",07:20,"Luzern, Bahnhof » Obernau, Dorf",4,19,0,51.5
"07:21 Uhr -> Obernau, Dorf » Ebikon, Fildern",07:21,"Obernau, Dorf » Ebikon, Fildern",4,39,0,16.6
"07:22 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:22,"Ebikon, Fildern » Obernau, Dorf",20,39,0,226.9
"07:24 Uhr -> Luzern, Maihof » Luzern, Bahnhof",07:24,"Luzern, Maihof » Luzern, Bahnhof",20,9,0,53.3
"07:25 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:25,"Ebikon, Fildern » Obernau, Dorf",4,39,0,88.9
"07:26 Uhr -> Obernau, Dorf » Ebikon, Fildern",07:26,"Obernau, Dorf » Ebikon, Fildern",20,39,0,394.8
"07:27 Uhr -> Obernau, Dorf » Ebikon, Fildern",07:27,"Obernau, Dorf » Ebikon, Fildern",6,39,0,53.2
"07:28 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:28,"Ebikon, Fildern » Obernau, Dorf",6,39,0,124.2
"07:28 Uhr -> Obernau, Dorf » Ebikon, Fildern",07:28,"Obernau, Dorf » Ebikon, Fildern",4,39,0,27.0
"07:29 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:29,"Ebikon, Fildern » Obernau, Dorf",20,39,0,257.5
"07:33 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:33,"Ebikon, Fildern » Obernau, Dorf",4,39,0,114.5
"07:34 Uhr -> Obernau, Dorf » Ebikon, Bahnhof",07:34,"Obernau, Dorf » Ebikon, Bahnhof",1,36,0,694.4
"07:34 Uhr -> Obernau, Dorf » Ebikon, Fildern",07:34,"Obernau, Dorf » Ebikon, Fildern",19,39,1,403.7
"07:36 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:36,"Ebikon, Fildern » Obernau, Dorf",20,39,0,190.4
"07:36 Uhr -> Kriens, Busschleife » Luzern, Maihof",07:36,"Kriens, Busschleife » Luzern, Maihof",20,21,0,341.9
"07:36 Uhr -> Obernau, Dorf » Ebikon, Fildern",07:36,"Obernau, Dorf » Ebikon, Fildern",4,39,0,138.3
"07:37 Uhr -> Luzern, Bahnhof » Luzern, Maihof",07:37,"Luzern, Bahnhof » Luzern, Maihof",20,9,0,57.8
"07:39 Uhr -> Luzern, Maihof » Kriens, Busschleife",07:39,"Luzern, Maihof » Kriens, Busschleife",20,21,0,118.0
"07:40 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:40,"Ebikon, Fildern » Obernau, Dorf",4,39,0,132.6
"07:41 Uhr -> Obernau, Dorf » Ebikon, Fildern",07:41,"Obernau, Dorf » Ebikon, Fildern",20,39,0,353.9
"07:42 Uhr -> Obernau, Dorf » Ebikon, Fildern",07:42,"Obernau, Dorf » Ebikon, Fildern",10,39,0,65.8
"07:43 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:43,"Ebikon, Fildern » Obernau, Dorf",6,39,0,109.2
"07:44 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:44,"Ebikon, Fildern » Obernau, Dorf",20,39,0,192.0
"07:48 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:48,"Ebikon, Fildern » Obernau, Dorf",4,39,0,131.3
"07:49 Uhr -> Obernau, Dorf » Ebikon, Fildern",07:49,"Obernau, Dorf » Ebikon, Fildern",24,39,1,264.2
"07:51 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:51,"Ebikon, Fildern » Obernau, Dorf",20,39,0,134.6
"07:53 Uhr -> Luzern, Maihof » Luzern, Bahnhof",07:53,"Luzern, Maihof » Luzern, Bahnhof",20,9,0,113.6
"07:55 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:55,"Ebikon, Fildern » Obernau, Dorf",4,39,0,55.9
"07:56 Uhr -> Obernau, Dorf » Ebikon, Fildern",07:56,"Obernau, Dorf » Ebikon, Fildern",25,39,0,222.6
"07:57 Uhr -> Obernau, Dorf » Ebikon, Fildern",07:57,"Obernau, Dorf » Ebikon, Fildern",6,39,0,120.1
"07:58 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:58,"Ebikon, Fildern » Obernau, Dorf",6,39,0,159.3
"07:59 Uhr -> Ebikon, Fildern » Obernau, Dorf",07:59,"Ebikon, Fildern » Obernau, Dorf",20,39,0,159.9
